SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -92
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -77
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:d1, RSSI: -84
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:d2, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:33:d0, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:62:7c:c1, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:7c:c0, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:c1, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:c2, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:41:42, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:9f:b1, RSSI: -94
SSID: eduroam, BSSID: 1c:28:af:65:e6:e0, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f1:9f:b0, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f3:15:d2, RSSI: -83
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a5:52, RSSI: -93
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:15:d1, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f3:15:d0, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:e6:f0, RSSI: -63
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -63
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -63
