SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:e6:f0, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:2a:f1, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f2:2a:f0, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:2a:f2, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:01, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f3:03:a0, RSSI: -65
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -81
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:a1, RSSI: -66
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:a2, RSSI: -66
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -81
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ce:21, RSSI: -70
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:71, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:ce:20, RSSI: -69
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:72, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:65:ce:22, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:70, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f1:d7:72, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -70
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -77
