SSID: TUD-facility, BSSID: 1c:28:af:61:f9:02, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:61:f9:00, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -75
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:01, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -59
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:11, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5c:02, RSSI: -93
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:a1, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:a2, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -77
