SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -71
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -70
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -65
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -96
SSID: eduroam, BSSID: d0:4d:c6:f2:08:30, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:08:31, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:08:32, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:f1, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:65:e1:f0, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:f2, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:08:20, RSSI: -80
SSID: TP-LINK_0544E6, BSSID: f8:1a:67:05:44:e6, RSSI: -81
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:08:21, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:08:22, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:49:02, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:49:01, RSSI: -88
SSID: eduroam, BSSID: d0:4d:c6:f2:49:00, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -87
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:c2:52, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:65:c2:50, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c2:51, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f3:15:c2, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:15:c1, RSSI: -90
SSID: eduroam, BSSID: d0:4d:c6:f3:15:c0, RSSI: -90
SSID: eduroam, BSSID: d0:4d:c6:f1:5d:60, RSSI: -88
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:b2, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:b1, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:61:ec:b0, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c2:41, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:c2:42, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:72, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:c2:40, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:42, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ef:c1, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:61:ef:c0, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:61, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:61:ef:c2, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -95
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -95
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:42:b0, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:62:42:b2, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:62:42:b1, RSSI: -88
