SSID: TUD-facility, BSSID: d0:4d:c6:f1:9f:a2, RSSI: -90
SSID: eduroam, BSSID: d0:4d:c6:f1:9f:a0, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:9f:a1, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -90
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:b1:00, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:01, RSSI: -83
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -94
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -75
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -75
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -75
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -80
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -91
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:31, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:32, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -61
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -61
SSID: TUD-facility, BSSID: 1c:28:af:66:03:42, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:66:03:40, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:66:03:41, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:65:ec:30, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f3:02:50, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:02:51, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:52, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -61
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -63
