SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:74:e1, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -48
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -47
SSID: eduroam, BSSID: d0:4d:c6:f2:34:e0, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -47
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:e2, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:e1, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -58
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -58
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -58
SSID: SmartLife-5DFF, BSSID: 86:cc:a8:b8:5d:ff, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f1:02, RSSI: -76
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:01, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:a2, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:a1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:61:ec:a0, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -60
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -60
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -60
SSID: Pixel_9827, BSSID: 36:39:b2:f4:c7:c5, RSSI: -80
